Rank,Player,Gold,Silver,Bronze,S Tier,Earnings
1,zombs,13,5,1,1,113550
2,ShahZaM,13,4,1,1,113450
3,dapr,14,3,1,1,112870
4,SicK,12,3,1,1,112650
5,cNed,12,4,2,1,107735
6,starxo,12,4,1,1,104394
7,Kiles,6,4,2,1,104093
8,nAts,14,6,0,1,103829
9,Chronicle,13,6,0,1,103574
10,d3ffo,12,4,2,1,102773
11,Sheydos,10,4,0,1,102626
12,BONECOLD,5,1,1,1,101918
13,Redgar,9,4,1,1,101115
14,zeek,13,4,1,1,94754
15,TenZ,8,4,3,1,92750
16,ScreaM,15,9,2,0,70399
17,soulcas,11,5,3,0,68163
18,L1NK,11,5,2,0,68083
19,mixwell,17,5,1,0,60855
20,crashies,3,5,2,0,60250
21,Victor,3,3,2,0,59250
22,FNS,6,6,2,0,58120
23,Marved,1,4,1,0,54950
24,Jamppi,4,1,0,0,53980
25,Rb,19,1,0,0,51200
26,stax,18,1,1,0,50477
27,AvovA,11,3,2,0,48903
28,Asuna,2,5,6,0,48570
29,k1Ng,17,2,0,0,48469
30,ardiis,18,0,0,0,48424
31,Boaster,5,5,2,0,48061
32,Mistic,5,6,2,0,47905
33,nukkye,6,3,1,0,47557
34,Derke,1,3,3,0,46685
35,Hiko,6,4,2,0,45750
36,yay,4,5,2,0,44600
37,sScary,12,5,1,0,30066
38,SUYGETSU,10,2,1,0,29407
39,Crws,12,2,2,0,29246
40,sushiboys,11,3,2,0,29231
41,foxz,11,2,1,0,29083
42,Patiphan,6,2,2,0,18611
43,mindfreak,10,4,1,0,17846
44,f0rsakeN,10,4,2,0,17846
45,Benkai,9,4,1,0,17779
46,d4v41,9,4,1,0,17779
47,JohnOlsen,8,5,3,0,14762
48,ChAlalala,8,5,3,0,14762
49,LAMMYSNAX,8,5,2,0,14724
50,v1xen,7,6,1,0,14528
